student_id,student_name,course_id
BT2025001,Pooja Iyer,C1
BT2025001,Pooja Iyer,C2
BT2025001,Pooja Iyer,C3
BT2025001,Pooja Iyer,C17
BT2025002,Aditya Jha,C1
BT2025002,Aditya Jha,C2
BT2025002,Aditya Jha,C3
BT2025002,Aditya Jha,C17
BT2025003,Ayan Rao,C1
BT2025003,Ayan Rao,C2
BT2025003,Ayan Rao,C3
BT2025003,Ayan Rao,C17
BT2025004,Krishna Sharma,C1
BT2025004,Krishna Sharma,C2
BT2025004,Krishna Sharma,C3
BT2025004,Krishna Sharma,C17
BT2025005,Shruti Sharma,C1
BT2025005,Shruti Sharma,C2
BT2025005,Shruti Sharma,C3
BT2025005,Shruti Sharma,C17
BT2025006,Vivaan Reddy,C1
BT2025006,Vivaan Reddy,C2
BT2025006,Vivaan Reddy,C3
BT2025006,Vivaan Reddy,C17
BT2025007,Simran Das,C1
BT2025007,Simran Das,C2
BT2025007,Simran Das,C3
BT2025007,Simran Das,C17
BT2025008,Kiara Bhat,C1
BT2025008,Kiara Bhat,C2
BT2025008,Kiara Bhat,C3
BT2025008,Kiara Bhat,C17
BT2025009,Karan Nair,C1
BT2025009,Karan Nair,C2
BT2025009,Karan Nair,C3
BT2025009,Karan Nair,C17
BT2025010,Aarav Deshmukh,C1
BT2025010,Aarav Deshmukh,C2
BT2025010,Aarav Deshmukh,C3
BT2025010,Aarav Deshmukh,C17
BT2025011,Krishna Rao,C1
BT2025011,Krishna Rao,C2
BT2025011,Krishna Rao,C3
BT2025011,Krishna Rao,C17
BT2025012,Ishika Gupta,C1
BT2025012,Ishika Gupta,C2
BT2025012,Ishika Gupta,C3
BT2025012,Ishika Gupta,C17
BT2025013,Kiara Iyer,C1
BT2025013,Kiara Iyer,C2
BT2025013,Kiara Iyer,C3
BT2025013,Kiara Iyer,C17
BT2025014,Shruti Reddy,C1
BT2025014,Shruti Reddy,C2
BT2025014,Shruti Reddy,C3
BT2025014,Shruti Reddy,C17
BT2025015,Ishaan Rao,C1
BT2025015,Ishaan Rao,C2
BT2025015,Ishaan Rao,C3
BT2025015,Ishaan Rao,C17
BT2025016,Ishaan Joshi,C1
BT2025016,Ishaan Joshi,C2
BT2025016,Ishaan Joshi,C3
BT2025016,Ishaan Joshi,C17
BT2025017,Kiara Patel,C1
BT2025017,Kiara Patel,C2
BT2025017,Kiara Patel,C3
BT2025017,Kiara Patel,C17
BT2025018,Vivaan Rao,C1
BT2025018,Vivaan Rao,C2
BT2025018,Vivaan Rao,C3
BT2025018,Vivaan Rao,C17
BT2025019,Ayan Sharma,C1
BT2025019,Ayan Sharma,C2
BT2025019,Ayan Sharma,C3
BT2025019,Ayan Sharma,C17
BT2025020,Vivaan Sharma,C1
BT2025020,Vivaan Sharma,C2
BT2025020,Vivaan Sharma,C3
BT2025020,Vivaan Sharma,C17
BT2025021,Saanvi Reddy,C1
BT2025021,Saanvi Reddy,C2
BT2025021,Saanvi Reddy,C3
BT2025021,Saanvi Reddy,C17
BT2025022,Manav Reddy,C1
BT2025022,Manav Reddy,C2
BT2025022,Manav Reddy,C3
BT2025022,Manav Reddy,C17
BT2025023,Kiara Kaur,C1
BT2025023,Kiara Kaur,C2
BT2025023,Kiara Kaur,C3
BT2025023,Kiara Kaur,C17
BT2025024,Rohan Nair,C1
BT2025024,Rohan Nair,C2
BT2025024,Rohan Nair,C3
BT2025024,Rohan Nair,C17
BT2025025,Diya Jha,C1
BT2025025,Diya Jha,C2
BT2025025,Diya Jha,C3
BT2025025,Diya Jha,C17
BT2025026,Krishna Kaur,C1
BT2025026,Krishna Kaur,C2
BT2025026,Krishna Kaur,C3
BT2025026,Krishna Kaur,C17
BT2025027,Ritika Das,C1
BT2025027,Ritika Das,C2
BT2025027,Ritika Das,C3
BT2025027,Ritika Das,C17
BT2025028,Karan Gupta,C1
BT2025028,Karan Gupta,C2
BT2025028,Karan Gupta,C3
BT2025028,Karan Gupta,C17
BT2025029,Karan Mehta,C1
BT2025029,Karan Mehta,C2
BT2025029,Karan Mehta,C3
BT2025029,Karan Mehta,C17
BT2025030,Neha Gupta,C1
BT2025030,Neha Gupta,C2
BT2025030,Neha Gupta,C3
BT2025030,Neha Gupta,C17
BT2025031,Ananya Rao,C1
BT2025031,Ananya Rao,C2
BT2025031,Ananya Rao,C3
BT2025031,Ananya Rao,C17
BT2025032,Diya Das,C1
BT2025032,Diya Das,C2
BT2025032,Diya Das,C3
BT2025032,Diya Das,C17
BT2025033,Reyansh Nair,C1
BT2025033,Reyansh Nair,C2
BT2025033,Reyansh Nair,C3
BT2025033,Reyansh Nair,C17
BT2025034,Aditya Das,C1
BT2025034,Aditya Das,C2
BT2025034,Aditya Das,C3
BT2025034,Aditya Das,C17
BT2025035,Kiara Jha,C1
BT2025035,Kiara Jha,C2
BT2025035,Kiara Jha,C3
BT2025035,Kiara Jha,C17
BT2025036,Karan Singh,C1
BT2025036,Karan Singh,C2
BT2025036,Karan Singh,C3
BT2025036,Karan Singh,C17
BT2025037,Saanvi Iyer,C1
BT2025037,Saanvi Iyer,C2
BT2025037,Saanvi Iyer,C3
BT2025037,Saanvi Iyer,C17
BT2025038,Krishna Joshi,C1
BT2025038,Krishna Joshi,C2
BT2025038,Krishna Joshi,C3
BT2025038,Krishna Joshi,C17
BT2025039,Aditya Sharma,C1
BT2025039,Aditya Sharma,C2
BT2025039,Aditya Sharma,C3
