student_id,student_name,course_id
BT202501001,Shruti Rao,C1
BT202501001,Shruti Rao,C2
BT202501001,Shruti Rao,C3
BT202501001,Shruti Rao,C101
BT202501002,Krishna Rao,C1
BT202501002,Krishna Rao,C2
BT202501002,Krishna Rao,C3
BT202501002,Krishna Rao,C101
BT202501003,Aarav Gupta,C1
BT202501003,Aarav Gupta,C2
BT202501003,Aarav Gupta,C3
BT202501003,Aarav Gupta,C101
BT202501004,Karan Verma,C1
BT202501004,Karan Verma,C2
BT202501004,Karan Verma,C3
BT202501004,Karan Verma,C101
BT202501005,Karan Sharma,C1
BT202501005,Karan Sharma,C2
BT202501005,Karan Sharma,C3
BT202501005,Karan Sharma,C101
BT202501006,Aadhya Iyer,C1
BT202501006,Aadhya Iyer,C2
BT202501006,Aadhya Iyer,C3
BT202501006,Aadhya Iyer,C101
BT202501007,Sai Sharma,C1
BT202501007,Sai Sharma,C2
BT202501007,Sai Sharma,C3
BT202501007,Sai Sharma,C101
BT202501008,Riya Verma,C1
BT202501008,Riya Verma,C2
BT202501008,Riya Verma,C3
BT202501008,Riya Verma,C101
BT202501009,Shruti Das,C1
BT202501009,Shruti Das,C2
BT202501009,Shruti Das,C3
BT202501009,Shruti Das,C101
BT202501010,Simran Jha,C1
BT202501010,Simran Jha,C2
BT202501010,Simran Jha,C3
BT202501010,Simran Jha,C101
BT202501011,Riya Patel,C1
BT202501011,Riya Patel,C2
BT202501011,Riya Patel,C3
BT202501011,Riya Patel,C101
BT202501012,Ayan Das,C1
BT202501012,Ayan Das,C2
BT202501012,Ayan Das,C3
BT202501012,Ayan Das,C101
BT202501013,Neha Kaur,C1
BT202501013,Neha Kaur,C2
BT202501013,Neha Kaur,C3
BT202501013,Neha Kaur,C101
BT202501014,Pooja Saxena,C1
BT202501014,Pooja Saxena,C2
BT202501014,Pooja Saxena,C3
BT202501014,Pooja Saxena,C101
BT202501015,Arjun Deshmukh,C1
BT202501015,Arjun Deshmukh,C2
BT202501015,Arjun Deshmukh,C3
BT202501015,Arjun Deshmukh,C101
BT202501016,Ira Iyer,C1
BT202501016,Ira Iyer,C2
BT202501016,Ira Iyer,C3
BT202501016,Ira Iyer,C101
BT202501017,Krishna Singh,C1
BT202501017,Krishna Singh,C2
BT202501017,Krishna Singh,C3
BT202501017,Krishna Singh,C101
BT202501018,Ira Malhotra,C1
BT202501018,Ira Malhotra,C2
BT202501018,Ira Malhotra,C3
BT202501018,Ira Malhotra,C101
BT202501019,Rohan Mehta,C1
BT202501019,Rohan Mehta,C2
BT202501019,Rohan Mehta,C3
BT202501019,Rohan Mehta,C101
BT202501020,Reyansh Saxena,C1
BT202501020,Reyansh Saxena,C2
BT202501020,Reyansh Saxena,C3
BT202501020,Reyansh Saxena,C101
BT202501021,Ira Malhotra,C1
BT202501021,Ira Malhotra,C2
BT202501021,Ira Malhotra,C3
BT202501021,Ira Malhotra,C101
BT202501022,Neha Gupta,C1
BT202501022,Neha Gupta,C2
BT202501022,Neha Gupta,C3
BT202501022,Neha Gupta,C101
BT202501023,Riya Gupta,C1
BT202501023,Riya Gupta,C2
BT202501023,Riya Gupta,C3
BT202501023,Riya Gupta,C101
BT202501024,Ishika Mehta,C1
BT202501024,Ishika Mehta,C2
BT202501024,Ishika Mehta,C3
BT202501024,Ishika Mehta,C101
BT202501025,Karan Bhat,C1
BT202501025,Karan Bhat,C2
BT202501025,Karan Bhat,C3
BT202501025,Karan Bhat,C101
BT202501026,Ishaan Singh,C1
BT202501026,Ishaan Singh,C2
BT202501026,Ishaan Singh,C3
BT202501026,Ishaan Singh,C101
BT202501027,Rohan Jha,C1
BT202501027,Rohan Jha,C2
BT202501027,Rohan Jha,C3
BT202501027,Rohan Jha,C101
